,partition
1406,41
1407,998
1408,122
1409,2
1410,794
1411,795
1412,2
1413,1359
1414,1340
1415,2427
1416,796
1417,797
1418,17
1419,2
1420,798
1421,2
1422,799
1423,800
1424,2014
1425,33
1426,273
1427,274
1428,253
1429,2
1430,39
1431,903
1432,20
1433,1648
1434,2744
1435,398
1436,275
1437,372
1438,39
1439,276
1440,65
1441,2217
1442,2510
1443,10
1444,2218
1445,2219
1446,409
1447,2220
1448,2
1449,2221
1450,2793
1451,2528
1452,2409
1453,2265
1454,2222
1455,2223
1456,672
1457,270
1458,777
1459,1541
1460,704
1461,673
1462,674
1463,675
1464,39
1465,676
1466,867
1467,81
1468,889
1469,677
1470,946
1471,67
1472,2636
1473,232
1474,1
1475,629
1476,233
1477,1064
1478,2575
1479,2810
1480,2091
1481,202
1482,17
1483,1212
1484,2514
1485,1178
1486,1487
1487,30
1488,1050
1489,604
1490,605
1491,2
1492,2561
1493,152
1494,606
1495,2
1496,607
1497,2691
1498,1385
1499,1161
1500,608
1501,39
1502,60
1503,196
1504,1488
1505,2579
1506,163
1507,1279
1508,1125
1509,2048
1510,2
1511,371
1512,372
1513,373
1514,2759
1515,951
1516,374
1517,375
1518,2012
1519,1406
1520,41
1521,1308
1522,1309
1523,1310
1524,1311
1525,1312
1526,1313
1527,2369
1528,2081
1529,1314
1530,1866
1531,2
1532,15
1533,32
1534,2423
1535,1315
1536,2
1537,2
1538,270
1539,4
1540,852
1541,4
1542,872
1543,812
1544,16
1545,819
1546,271
1547,388
1548,613
1549,272
1550,2
1551,353
1552,1415
1553,349
1554,1720
1555,1416
1556,1757
1557,1417
1558,1636
1559,1418
1560,1419
1561,1420
1562,16
1563,1421
1564,1444
1565,51
1566,147
1567,2725
1568,51
1569,514
1570,15
1571,698
1572,515
1573,516
1574,517
1575,22
1576,2063
1577,1109
1578,518
1579,519
1580,590
1581,1704
1582,1051
1583,520
1584,1690
1585,2828
1586,2829
1587,1195
1588,16
1589,2830
1590,2831
1591,115
1592,16
1593,2
1594,2832
1595,2833
1596,2834
1597,2835
1598,2836
1599,2837
1600,362
1601,27
1602,681
1603,1451
1604,1009
1605,50
1606,1234
1607,298
1608,2
1609,520
1610,296
1611,58
1612,1397
1613,16
1614,966
1615,261
1616,1736
1617,521
1618,2007
1619,522
1620,618
1621,523
1622,43
1623,1560
1624,923
1625,1180
1626,541
1627,38
1628,1047
1629,926
1630,104
1631,184
1632,13
1633,86
1634,280
1635,108
1636,523
1637,113
1638,260
1639,219
1640,189
1641,252
1642,218
1643,338
1644,337
1645,378
1646,19
1647,945
1648,15
1649,2256
1650,2751
1651,18
1652,110
1653,1422
1654,2006
1655,1591
1656,13
1657,2553
1658,189
1659,2
1660,2536
1661,1839
1662,1423
1663,2547
1664,1861
1665,1381
1666,252
1667,42
1668,1382
1669,2
1670,2325
1671,1383
1672,1570
1673,2288
1674,1384
1675,1385
1676,1386
1677,2353
1678,1387
1679,315
1680,15
1681,489
1682,531
1683,2121
1684,753
1685,1666
1686,24
1687,51
1688,2208
1689,104
1690,57
1691,576
1692,2000
1693,532
1694,2797
1695,294
1696,17
1697,33
1698,790
1699,1517
1700,860
1701,1888
1702,791
1703,792
1704,244
1705,166
1706,222
1707,51
1708,793
1709,2
1710,213
1711,1816
1712,2
1713,2254
1714,37
1715,1940
1716,1514
1717,38
1718,2372
1719,1515
1720,16
1721,1516
1722,1517
1723,133
1724,4
1725,199
1726,1518
1727,1519
1728,33
1729,38
1730,2633
1731,4
1732,2536
1733,1739
1734,1121
1735,4
1736,1122
1737,1123
1738,2
1739,1312
1740,1124
1741,15
1742,2317
1743,1129
1744,1173
1745,2235
1746,758
1747,2236
1748,99
1749,112
1750,2237
1751,2238
1752,2
1753,2
1754,2239
1755,39
1756,46
1757,2240
1758,104
1759,2241
1760,15
1761,1389
1762,703
1763,1167
1764,280
1765,878
1766,588
1767,2505
1768,429
1769,1770
1770,15
1771,589
1772,1432
1773,590
1774,202
1775,104
1776,2009
1777,2010
1778,2011
1779,15
1780,2012
1781,1195
1782,2013
1783,2536
1784,347
1785,15
1786,30
1787,2014
1788,33
1789,2015
1790,16
1791,60
1792,1527
1793,1528
1794,1529
1795,17
1796,1547
1797,1530
1798,1531
1799,1532
1800,68
1801,1589
1802,709
1803,1533
1804,226
1805,1534
1806,1535
1807,1536
1808,196
1809,1558
1810,2
1811,956
1812,15
1813,38
1814,957
1815,958
1816,15
1817,1844
1818,1075
1819,1469
1820,959
1821,960
1822,1039
1823,961
1824,992
1825,1451
1826,1587
1827,993
1828,994
1829,1897
1830,15
1831,995
1832,996
1833,997
1834,998
1835,436
1836,383
1837,84
1838,2359
1839,260
1840,2379
1841,2380
1842,2
1843,79
1844,176
1845,2381
1846,2382
1847,2534
1848,2383
1849,2128
1850,2384
1851,265
1852,2385
1853,2386
1854,102
1855,2442
1856,2
1857,2629
1858,2630
1859,2631
1860,2632
1861,2633
1862,2634
1863,2635
1864,2636
1865,112
1866,2637
1867,2638
1868,2639
1869,2640
1870,2641
1871,2642
1872,60
1873,2335
1874,2336
1875,15
1876,2337
1877,2338
1878,2339
1879,2373
1880,24
1881,2340
1882,481
1883,218
1884,2341
1885,2471
1886,2342
1887,4
1888,33
1889,174
1890,657
1891,2546
1892,1222
1893,230
1894,2
1895,68
1896,4
1897,1245
1898,67
1899,2699
1900,212
1901,369
1902,1821
1903,24
1904,1907
1905,1668
1906,2476
1907,2025
1908,981
1909,982
1910,983
1911,984
1912,49
1913,985
1914,39
1915,997
1916,1833
1917,205
1918,145
1919,986
1920,1991
1921,113
1922,1992
1923,2619
1924,1993
1925,1994
1926,1995
1927,122
1928,1996
1929,1997
1930,1998
1931,1999
1932,2000
1933,2001
1934,61
1935,2
1936,2651
1937,2652
1938,2653
1939,2654
1940,1261
1941,585
1942,2655
1943,1
1944,2656
1945,422
1946,2657
1947,2658
1948,1573
1949,2659
1950,2660
1951,2661
1952,117
1953,205
1954,239
1955,148
1956,69
1957,709
1958,89
1959,635
1960,201
1961,238
1962,831
1963,202
1964,142
1965,129
1966,118
1967,315
1968,2643
1969,2644
1970,2
1971,47
1972,15
1973,196
1974,2
1975,2645
1976,2646
1977,2647
1978,2648
1979,2681
1980,37
1981,645
1982,2649
1983,2650
1984,2
1985,115
1986,2237
1987,1496
1988,166
1989,943
1990,335
1991,317
1992,1451
1993,4
1994,318
1995,1409
1996,2166
1997,319
1998,51
1999,2340
2000,2504
2001,2505
2002,11
2003,2506
2004,2507
2005,2508
2006,2509
2007,2510
2008,859
2009,523
2010,2511
2011,2512
2012,8
2013,2513
2014,884
2015,2514
2016,2002
2017,276
2018,2003
2019,51
2020,2004
2021,2005
2022,598
2023,2006
2024,2007
2025,145
2026,66
2027,1492
2028,2008
2029,405
2030,2
2031,68
2032,987
2033,2125
2034,988
2035,2
2036,989
2037,990
2038,33
2039,1559
2040,991
2041,205
2042,2838
2043,16
2044,1481
2045,469
2046,2504
2047,1571
2048,579
2049,580
2050,301
2051,47
2052,2
2053,157
2054,581
2055,254
2056,582
2057,2
2058,583
2059,770
2060,1605
2061,584
2062,2065
2063,78
2064,1537
2065,2838
2066,1992
2067,2
2068,1195
2069,2468
2070,2469
2071,2470
2072,2471
2073,405
2074,254
2075,2472
2076,2473
2077,2488
2078,15
2079,2474
2080,37
2081,2536
2082,415
2083,416
2084,2
2085,451
2086,417
2087,1637
2088,648
2089,914
2090,2
2091,1765
2092,418
2093,15
2094,102
2095,2396
2096,470
2097,1814
2098,2660
2099,208
2100,2383
2101,2410
2102,1084
2103,41
2104,303
2105,1515
2106,2032
2107,16
2108,33
2109,15
2110,1887
2111,1820
2112,651
2113,2584
2114,780
2115,934
2116,935
2117,936
2118,338
2119,1903
2120,378
2121,1616
2122,60
2123,2625
2124,11
2125,1131
2126,937
2127,957
2128,1191
2129,4
2130,2486
2131,726
2132,257
2133,2
2134,1911
2135,1303
2136,727
2137,2462
2138,579
2139,728
2140,729
2141,123
2142,2
2143,730
2144,986
2145,731
2146,892
2147,448
2148,2
2149,2010
2150,2418
2151,248
2152,1653
2153,1908
2154,572
2155,1130
2156,170
2157,171
2158,810
2159,1030
2160,172
2161,1546
2162,1203
2163,1202
2164,2035
2165,1205
2166,1206
2167,252
2168,1207
2169,1308
2170,54
2171,1208
2172,345
2173,1209
2174,15
2175,2206
2176,1458
2177,1204
2178,2
2179,2
2180,2394
2181,2353
2182,656
2183,2354
2184,8
2185,2355
2186,2356
2187,49
2188,2357
2189,2358
2190,2359
2191,557
2192,2
2193,142
2194,22
2195,24
2196,567
2197,304
2198,381
2199,305
2200,306
2201,54
2202,307
2203,308
2204,309
2205,310
2206,742
2207,8
2208,1906
2209,2
2210,2102
2211,2103
2212,125
2213,2
2214,374
2215,2105
2216,2106
2217,47
2218,1451
2219,15
2220,2417
2221,1799
2222,2411
2223,2107
2224,2108
2225,2104
2226,2079
2227,2080
2228,15
2229,175
2230,107
2231,2081
2232,2776
2233,2356
2234,489
2235,2082
2236,86
2237,2083
2238,2084
2239,1
2240,347
2241,2
2242,971
2243,345
2244,709
2245,710
2246,792
2247,732
2248,711
2249,635
2250,666
2251,712
2252,713
2253,2
2254,276
2255,714
2256,8
2257,1144
2258,1792
2259,43
2260,15
2261,244
2262,8
2263,1793
2264,429
2265,1794
2266,1795
2267,2622
2268,1979
2269,347
2270,1796
2271,2
2272,2798
2273,2520
2274,1751
2275,1733
2276,2
2277,1108
2278,110
2279,1556
2280,940
2281,53
2282,300
2283,2033
2284,62
2285,301
2286,302
2287,51
2288,2
2289,39
2290,2
2291,2284
2292,656
2293,1511
2294,523
2295,838
2296,839
2297,840
2298,243
2299,206
2300,2
2301,115
2302,1001
2303,841
2304,842
2305,1012
2306,2713
2307,2202
2308,525
2309,2203
2310,1671
2311,2204
2312,1499
2313,2
2314,2205
2315,2206
2316,2207
2317,2208
2318,2355
2319,68
2320,2261
2321,2209
2322,345
2323,2
2324,2569
2325,15
2326,48
2327,2570
2328,15
2329,2
2330,2571
2331,2572
2332,2
2333,2573
2334,2574
2335,2
2336,2575
2337,37
2338,626
2339,627
2340,252
2341,61
2342,781
2343,574
2344,1302
2345,2196
2346,2162
2347,636
2348,2
2349,2
2350,811
2351,1925
2352,628
2353,2
2354,722
2355,252
2356,2
2357,115
2358,1
2359,2672
2360,582
2361,1093
2362,1200
2363,603
2364,518
2365,2
2366,1213
2367,1142
2368,253
2369,30
2370,1615
2371,43
2372,1394
2373,945
2374,685
2375,2002
2376,2828
2377,946
2378,947
2379,2181
2380,948
2381,1730
2382,949
2383,950
2384,2
2385,84
2386,2
2387,843
2388,244
2389,270
2390,1642
2391,2171
2392,874
2393,1871
2394,844
2395,845
2396,16
2397,15
2398,846
2399,1917
2400,1443
2401,847
2402,80
2403,1197
2404,2617
2405,1712
2406,1198
2407,1497
2408,43
2409,1199
2410,15
2411,1200
2412,1347
2413,1875
2414,1201
2415,1202
2416,2767
2417,739
2418,1054
2419,862
2420,2
2421,1999
2422,1024
2423,15
2424,701
2425,700
2426,2
2427,1369
2428,939
2429,2366
2430,701
2431,1238
2432,287
2433,26
2434,938
2435,2
2436,2680
2437,30
2438,939
2439,940
2440,941
2441,2
2442,942
2443,2
2444,943
2445,622
2446,2542
2447,2026
2448,944
2449,1748
2450,1
2451,2617
2452,2
2453,2618
2454,2619
2455,2620
2456,2621
2457,2622
2458,2623
2459,2624
2460,2625
2461,68
2462,2626
2463,2627
2464,2628
2465,735
2466,2089
2467,4
2468,2769
2469,145
2470,1732
2471,902
2472,903
2473,904
2474,904
2475,1585
2476,38
2477,905
2478,196
2479,61
2480,906
2481,16
2482,76
2483,2610
2484,2611
2485,2612
2486,2613
2487,67
2488,969
2489,41
2490,2614
2491,1229
2492,2615
2493,102
2494,15
2495,1352
2496,649
2497,2616
2498,2566
2499,37
2500,80
2501,39
2502,821
2503,822
2504,2
2505,984
2506,823
2507,824
2508,958
2509,1275
2510,825
2511,1351
2512,826
2513,1316
2514,2049
2515,2259
2516,119
2517,39
2518,2050
2519,2051
2520,2052
2521,2053
2522,51
2523,2054
2524,668
2525,181
